data_year,district,park_addr,park_area,park_name
2023,崇明区,三星镇星虹路南侧海洪小学东侧,3300,星虹园
2024,浦东新区,杨思路东侧（杨思港-灵岩南路）,2300,田心花园
2024,浦东新区,祖冲之路科苑路东南角,7957,π园
2024,徐汇区,斜土路零陵路路口,2719,星游城花园
2024,静安区,南京西路永源路路口,4257,永源浜花园
2024,静安区,江场西路510号东侧,2934,数智花园
2024,闵行区,西环路疏影路路口,1838,连动花园
2024,闵行区,沪闵路元江路东北角,7960,松树泡泡花园
2024,嘉定区,棋盘路永靖路路口,1097,蝶来谷
2024,嘉定区,环城河绿地科学技术职业学院附近,8000,清翠园
2024,奉贤区,奉粮路新奉公路东北角,3320,奉粮路小游园
2024,松江区,滨湖路、文翔路西南角,1800,滨湖路、文翔路街心花园
2024,金山区,新城路（大堤路-北随塘河路）两侧,3425,广宇花园
2024,青浦区,青舟路华民路路口,3991,华民花园
2024,青浦区,城中东路保安路东南角,4875,保安苑
2024,青浦区,帕缇欧香幼儿园对面（淀浦河南侧-南淀浦河路）,7986,云朵园
2024,崇明区,三星镇星虹路南侧海洪小学东侧,3300,星虹园
2024,崇明区,西门路北门路西南角,6422,西门印象花园
2024,浦东新区,桃林路西侧（乳山路-商城路）,7554,追光园
2024,浦东新区,金豫路金葵路东南角,4672,金葵花园
2021,徐汇区,常熟路地铁站,5600,常熟花园
2021,长宁区,中山西路延安西路西南角,6180,银河小游园
2021,普陀区,子长路延长西路路口,2176,希望园
2021,普陀区,金沙江路丹巴路路口,925,丹巴花园
2021,虹口区,昆明路唐山路路口,2030,下海庙花园
2021,虹口区,车站北路水电路路口,3327,花溪园
2021,宝山区,密山路南侧，环保局东侧,4800,森园
2021,闵行区,东川路、金平路西南角,6800,银杏公园
2021,青浦区,城中东路以北，保安路以西,3800,横卯泾绿地
2022,浦东新区,沈家弄路金囡幼儿园对面,4143,泾西绿地
2022,浦东新区,新川路南侧护城河东侧,5800,古城公园
2022,黄浦区,复兴中路与济南路路口,2740,光音花园
2022,徐汇区,高安路衡山路路口,1300,高安花园
2022,静安区,长宁路万航渡路西南角,1745,曹家渡绿岛花园
2022,普陀区,兰溪路、枣阳路东北角,1100,曹村源园
2022,普陀区,曹杨环浜西侧（棠浦路至枫桥路）,1361,碧波园
2022,普陀区,大渡河路怒江北路东北角,7345,怒江北路花园
2022,杨浦区,源泉路150号,3800,唐家塔街心花园
2022,宝山区,逸仙小区南小门外西侧,1215,青石小游园
2022,松江区,中山东路普照路东北角,4338,老水厂花园
2022,金山区,东贤路金张公路西南角,3450,仙女花园
2022,青浦区,漕盈路与海盈路路口,13800,海盈路月季园
2023,浦东新区,杜鹃路海桐路东北角,4750,花木月季园
2023,浦东新区,海桐路樱花路路口,3600,古蜡梅园
2023,长宁区,江苏路延安西路交叉口,4300,华山新语
2023,普陀区,子长路延长西路路口,2176,希望园
2023,普陀区,新会路延平路西北角,3038,新会花园
2023,闵行区,地铁1号线外环路,8900,地铁愉悦花园
2023,闵行区,平吉路北莲花路东,1641,平吉园
2023,闵行区,沪青平公路吴宝路路口,5000,启航花园
2023,宝山区,沪联路韶山路西北角,1225,春景苑
2023,宝山区,殷高西路江杨南路东南角,2560,百安园
2023,嘉定区,沪宜公路叶城路东北角,6400,杉林绿洲
2023,青浦区,环城东路208号,4000,侨鑫绿地
2023,青浦区,城中东路青松路东北侧,3460,青松园
2023,崇明区,长兴镇先进村委南侧、凤滨路北侧,3285,先进花园
2023,崇明区,横沙乡反帝圩水闸西侧,3835,红星河公园
2024,浦东新区,世纪大道东侧近杨高路,3615,世纪大道栾树园
2024,浦东新区,上南路浦东南路东南角,2000,观渡
2024,浦东新区,上海科技馆南侧,4921,秘境花园
2024,黄浦区,复兴中路与济南路路口,2740,光音花园
2024,黄浦区,长乐路陕西南路,2300,馨园
2024,徐汇区,长华路755号,8862,长华路绿地
2024,普陀区,新会路延平路西北角,3038,新会花园
2024,普陀区,杨柳青路梅岭北路西北角、西南角,3685,杨柳青园
2024,虹口区,通州路海拉尔路路口,1085,童梦园
2024,虹口区,杨树浦路平凉路路口,4500,知春园
2024,杨浦区,密云路松花江路路口,1700,彩花园
2024,闵行区,雅清路与沪闵公路之间,3665,雅清园
2024,闵行区,莲花南路西，沪闵路地道南侧,5000,梅陇莲花园
2024,松江区,人民北路、南期昌路东南角,7700,人民路、其昌路街心花园
2021,普陀区,新会路延平路西北角,3038,新会花园
2021,虹口区,长阳路67号,3200,白马咖啡馆绿地
2021,虹口区,长治路大名路东南角,3114,寻彩园
2021,杨浦区,长阳路、宁国路西南角,3100,长阳路宁国路公共绿地
2022,浦东新区,世纪大道（浦东南路-南泉北路）,9000,世纪大道樱花园
2022,浦东新区,桃林路乳山路路口,8000,逐影园
2022,黄浦区,西藏南路龙华东路,2502,镜面花园
2022,徐汇区,乌鲁木齐中路、复兴西路 、淮海中路三岔口,2200,乌中绿地
2022,徐汇区,肇嘉浜路（陕西南路-大木桥路）,1600,嘉善路小游园
2022,静安区,光复路长安西路路口,4359,锦绣花园
2022,杨浦区,国伟路交叉路口,5500,国伟路公共绿地
2022,崇明区,堡镇中路向阳路东南角,1725,堡镇文广花园
2023,浦东新区,百业路（海科路-中科路）中隔带,5375,百业园
2023,浦东新区,南祝路人民东路路口,3500,佳华园
2023,浦东新区,杨高路龙阳路立交、北匝道内圈,3613,桥荫里·樱花园
2023,黄浦区,柳林路太仓东路西藏南路,2000,启园
2023,长宁区,中山西路延安西路西南角,6180,银河小游园
2023,杨浦区,源泉路150号,3800,唐家塔街心花园
2023,闵行区,南辅路北侧,6600,南辅彩之园
2023,闵行区,东川路、金平路西南角,6800,银杏公园
2023,闵行区,叶家桥路鹤坡路东北角,4320,同心园
2023,闵行区,中春路疏影路（富林苑中区入口）,1793,灵动园
2023,闵行区,西环路疏影路路口,1838,连动花园
2023,闵行区,浦连路南侧、浦航幼儿园西侧,2090,童里花园
2023,宝山区,沪联路韶山路西南角,1520,夏荫苑
2023,嘉定区,棋盘路永靖路路口,1097,蝶来谷
2023,松江区,滨湖路、文翔路西南角,1800,滨湖路、文翔路街心花园
2023,松江区,岳阳街道方舟园居委会北侧,4151,方舟园
2023,金山区,沪杭公路金一东路路口,3400,月亮湾花园
2023,崇明区,鼓浪屿路（育麟桥路至乔松路）,9800,崇州佳苑街心公园
2024,浦东新区,东建路锦和路路口,3500,光阴园
2024,浦东新区,听潮二路通济路西南角,5848,听潮花园
2024,黄浦区,龙华东路、西藏南路,6600,龙华东路台地花园
2024,静安区,光复路长安西路路口,4359,锦绣花园
2024,普陀区,大渡河路梅岭北路口,6298,梅川园
2024,闵行区,罗秀路龙里路路口,3018,龙里怡景园
2024,宝山区,牡丹江路东侧、水产路北侧,24100,西家浜绿地
2024,松江区,荣乐小区东侧围墙外,2500,荣乐花园
2024,松江区,大塔路梅家浜路东南角,7960,云间驿园
2024,青浦区,淀山湖大道（规划二路-新开泾）,7950,栾树园
2024,崇明区,鼓浪屿路（育麟桥路至乔松路）,9800,崇州佳苑街心公园
